STRING ID,DESCRIPTION,en_US,en_GB,fr,fr_CA,es,de,it,pt_PT,ru
MENU_YES,,Yes,Yes,Oui,Oui,Si,Ja,,Sim,Да
MENU_NO,,No,No,Non,Non,No,Nein,,Não,Нет
MENU_YES_CAPS,,YES,YES,OUI,OUI,SI,JA,,SIM,
MENU_NO_CAPS,,NO,NO,NON,NON,NO,NEIN,,NÃO,
MENU_YEAH,A more casual 'yes',Yeah,Yeah,Si,Ouais,Seh,Ja,,Sim,
MENU_NOPE,A more casual 'no',Nope,Nope,Non,Non,Nah,Nee,,,
MENU_PRESS_START,,Press Start,Press Start,Appuyez sur Start,Appuyez sur Start,Presiona Comenzar,Start drücken,,,Нажмите Старт
MENU_PRESS_START_CONTINUE,,Press Start to continue,Press Start to continue,Appuyez sur Start pour continuer,Appuyez sur Start pour continuer,Presiona Comenzar para continuar,,,,
MENU_PRESS_ANY,,Press any key,Press any key,Appuyez sur une touche,Appuyez sur une touche,Presiona cualquier tecla,,,,
MENU_PRESS_ANY_CONTINUE,,Press any key to continue,Press any key to continue,Appuyez sur une touche pour continuer,Appuyez sur une touche pour continuer,Presiona cualquier tecla para continuar,,,,
MENU_NEW_GAME,,New Game,New Game,Nouvelle partie,Nouvelle partie,Juego nuevo,Neues Spiel,,,
MENU_CONTINUE,,Continue,Continue,Continuer,Continuer,Continuar,Weiterspielen,,,Продолжить игру
MENU_CONTINUE_QUESTION,,Continue?,Continue?,Continuer?,Continuer?,¿Continuar?,Weiterspielen?,,,
MENU_LOAD,,Load,Load,Charger,Charger,Cargar,Laden,,,
MENU_LOAD_GAME,,Load Game,Load Game,Charger une partie,Charger une partie,Cargar Juego,Spiel laden,,,
MENU_SAVE,,Save,Save,Sauvegarder,Sauvegarder,Guardar,Sichern,,,
MENU_SAVE_GAME,,Save Game,Save Game,Sauvegarder une partie,Sauvegarder une partie,Guardar Juego,Spiel sichern,,,
MENU_SAVING,,Saving...,Saving...,Sauvegarde en cours...,Sauvegarde en cours...,Guardando...,Spiel sichern...,,,
MENU_EXIT,,Exit,Exit,Sortir,Sortir,Salir,,,,Выход
MENU_EXIT_QUESTION,,Exit?,Exit?,Sortir?,Sortir?,¿Salir?,,,,
MENU_DESKTOP,,Exit to Desktop,Exit to Desktop,Sortir vers le bureau,Sortir vers le bureau,Salir al escritorio,Zurück zum Desktop,,,
MENU_DESKTOP_QUESTION,,Exit to Desktop?,Exit to Desktop?,Sortir vers le bureau?,Sortir vers le bureau?,¿Salir al escritorio?,Zum Desktop rückkehren?,,,
MENU_QUIT,,Quit,Quit,Quitter,Quitter,Cerrar,Beenden,,,Выйти из игру
MENU_QUIT_QUESTION,,Quit?,Quit?,Quitter?,Quitter?,¿Cerrar?,Spiel beenden?,,,
MENU_QUIT_CONFIRM,,Are you sure you want to quit?,Are you sure you want to quit?,Êtes-vous certain de vouloir quitter?,Êtes-vous certain de vouloir quitter?,¿Está seguro de querer cerrar?,Wollen Sie wirklich das Spiel beenden?,,,
MENU_RETURN,,Return,Return,Retour,Retour,Volver,Rückkehren,,,
MENU_MAIN_MENU,,Main Menu,Main Menu,Menu principal,Menu principal,Menu principal,Hauptmenü,,,
MENU_RETURN_MAIN,,Return to Main Menu,Return to Main Menu,Retourner au menu principal,Retourner au menu principal,Volver al menu principal,Zurück zum Hauptmenü,,,
