STRING ID,DESCRIPTION,en_US,en_GB,fr,fr_CA,es,de,it,pt_PT,ru
GAME_YOU_WIN,,You win!,You win!,Vous gagnez!,,¡Usted gana!,,,,
GAME_YOU_LOSE,,You lose!,You lose!,Vous perdez!,,¡Usted pierde!,,,,
GAME_YOU_WON,,You won!,You won!,Vous avez gagné!,,¡Usted ganó!,,,,
GAME_YOU_LOST,,You lost!,You lost!,Vous avez perdu!,,¡Usted perdió!,,,,
GAME_GAME_OVER,,Game over!,Game over!,,,Juego terminado,,,,
GAME_GAME_OVER_CAPS,,GAME OVER!,GAME OVER!,,,JUEGO TERMINADO,,,,
GAME_VICTORY,,Victory,Victory,Victoire,,Victoria,,,,
GAME_DEFEAT,,Defeat,Defeat,Défaite,,Derrota,,,,
GAME_DEFEATED,,You have been defeated.,You have been defeated.,,,Fuiste derrotado,,,,
GAME_OBJECTIVE,,Objective,Objective,Objectif,,Objetivo,,,,
GAME_OBJECTIVE_PLURAL,,Objectives,Objectives,Objectifs,,Objetivos,,,,
GAME_MISSION_OBJECTIVE,,Mission Objective,Mission Objective,Objectif de la mission,,Objetivo de la misión,,,,
GAME_MISSION_OBJECTIVE_PLURAL,,Mission Objectives,Mission Objectives,,,Objetivos de la misión,,,,
GAME_YOU_ARE_DEAD,,You are dead.,You are dead.,,,Estás muerto,,,,
GAME_YOU_DIED,,You died.,You died.,,,Has muerto,,,,
GAME_DEATH,,Death,Death,Mort,,Muerte,,,,
GAME_DEATH_PLURAL,,Deaths,Deaths,Morts,,Muertes,,,,
GAME_KILL,,Kill,Kill,,,Matado,,,,
GAME_KILLS,,Kills,Kills,,,Matados,,,,
GAME_ASSIST,,Assist,Assist,,,Asistencia,,,,
GAME_ASSISTS,,Assists,Assists,,,Asistencias,,,,
GAME_RESPAWN,,Respawn,Respawn,,,Revivir,,,,
GAME_RESPAWNING,,Respawning,Respawning,,,Reviviendo,,,,
GAME_RESPAWN_IN,,Respawn in:,Respawn in:,,,Reviviendo en:,,,,
GAME_RESPAWN_QUESTION,,Respawn?,Respawn?,,,¿Revivir?,,,,
GAME_LOCKED,,Locked,Locked,,,Bloqueado,Gesperrt,,,
GAME_INVENTORY,,Inventory,Inventory,,,Inventario,Inventar,,,
GAME_INVENTORY_CAPACITY,,Inventory Capacity,Inventory Capacity,,,Capacidad del inventario,Inventarkapazität,,,
GAME_INVENTORY_FULL,,Inventory Full,Inventory Full,,,Inventario lleno,Inventar voll,,,
GAME_YOU_CANNOT_CARRY,,You cannot carry any more.,You cannot carry any more.,,,No puedes llevar nada más,,,,
GAME_ROUND,,Round,Round,,,Ronda,,,,
GAME_MATCH,,Match,Match,,,Encuentro,,,,
GAME_WINS,,Wins,Wins,,,Ganadas,,,,
GAME_LOSSES,,Losses,Losses,,,Perdidas,,,,
GAME_KEY,,Key,Key,Clé,,Tecla,Schlüssel,,,
GAME_LIVES,,Lives,Lives,Vies,,Vidas,Leben,,,
GAME_HEALTH,,Health,Health,Santé,,Vida,Gesundheit,,,
GAME_AMMUNITION,,Ammunition,Ammunition,Ammunition,,Municiones,Munitionen,,,
GAME_AMMO,,Ammo,Ammo,,,,Muni,,,
GAME_BULLET,,Bullet,Bullet,Balle,,Bala,Kugel,,,
GAME_BULLETS,,Bullets,Bullets,,,Balas,Kugeln,,,
GAME_ARMOR,,Armor,Armour,Armure,,Armadura,Rüstung,,,
GAME_SHIELD,"sci-fi energy shield, not medieval knight thing",Shield,Shield,,,Escudo,Schild,,,
GAME_SHIELDS,"sci-fi energy shield, not medieval knight thing",Shields,Shields,,,Escudos,,,,
GAME_ENEMY,,Enemy,Enemy,Ennemi,,Enemigo,,,,
GAME_ENEMY_PLURAL,,Enemies,Enemies,Ennemis,,Enemigos,,,,
GAME_ENEMY_FEMALE,,Enemy,Enemy,Ennemie,,Enemiga,,,,
GAME_ENEMY_FEMALE_PLURAL,,Enemies,Enemies,Ennemies,,Enemigas,,,,
GAME_MALE,,Male,Male,Mâle,,Masculino,Männlich,,,
GAME_FEMALE,,Female,Female,Femelle,,Femenino,Weiblich,,,
GAME_TRANSGENDER,,Transgender,Transgender,Transgenre,,Transexual,Transsexuelle,,,
GAME_MAN,,Man,Man,Homme,,Hombre,Mann,,,
GAME_MAN_PLURAL,,Men,Men,Hommes,,Hombres,Männer,,,
GAME_WOMAN,,Woman,Woman,Femme,,Mujer,Frau,,,
GAME_WOMAN_PLURAL,,Women,Women,Femmes,,Mujeres,Frauen,,,
GAME_DRAGON,,Dragon,Dragon,Dragon,,Dragón,Drache,,,
GAME_ZOMBIE,,Zombie,Zombie,Zombie,,Zombi,Zombie,,,
GAME_ZOMBIE_PLURAL,,Zombies,Zombies,Zombies,,Zombis,Zombies,,,
GAME_TIME,For countdown timers or elapsed time,Time,Time,,,Tiempo,Zeit,,,
